,CV,Roles,Other Roles
0,Abe Atsushi,"Castle-3, Spot","Inojin Yamanaka (Boruto), Moritaka Mashiro (Bakuman), Farren (Dragalia Lost), Suishinshi Masahide (Touken Ranbu), Male Protagonist (Zenless Zone Zero), Ryota Ibuki (Tokyo Xanadu), Sogo Osaka (iDOLISH7), Minoru Hinata (Digimon Survive), Tomohiro Haba (Hyouka), Koichi Sakakibara (Another), Yuuki (Princess Connect Re:Dive), Male Hakuno Kishinami (Fate Extra), Touma Kamijou (A Certain Magical Index and A Certain Scientific Railgun), Romio Hayahune (Free!), Shinji Inui (Initial D)"
1,Aida Rikako,Quartz,"Riko Sakurauchi (Love Live! Sunshine!!), Yuna Tashiki (Mashiro no Oto), Zephine Baudouin (Atelier Ryza 2: Lost Legends & The Secret Fairy), Fuuka Miyazawa (The Aquatrope on White Sand)"
2,Aihara Kotomi,Erato,"Shiki Ichinose (The iDOLM@STER Cinderella Girls), Bamboo Memory (Uma Musume Pretty Derby), Panakeia (Neural Cloud)"
3,Akao Hikaru,Bubble,"Kaoruko Moeta (Comic Girls), Koharu Shimoe (Blue Archive), Riri Hitotsuyanagi (Assault Lily)"
4,Akesaka Satomi,Aurora,"Esdeath (Akame ga Kill!), Chrome Dokuro (Katekyo Hitman REBORN!), Lamretta (Granblue Fantasy), Sejuani (League of Legends), Meruru (Atelier Meruru), Rinko Shirokane (BanG Dream!, formerly), Ghondor Vandham (Xenoblade Chronicles 3), Kato Danzo (Fate/Grand Order)"
5,Aoki Shiki,Dagda,"Asuka Ninomiya (The iDOLM@STER Cinderella Girls), Lottecia (Sorcerous Stabber Orphen: Chaos in Urbanrama), Jacques de Molay (Fate Grand Order), Homura Kogetsu (Edens Zero), Mayuko Nise (High Rise Invasion), Makoto Asada (Cardfight!! Vanguard series)"
6,Arakawa Miho,Ceylon,"Sonia Nevermind (Super Danganronpa 2), Claudia, Elaine (Granblue Fantasy), Meiko Mochizuki (Digimon Adventure:tri), Himari Takakura (Mawaru Penguindrum), Shizuku Murasaki (Hunter x Hunter)"
7,Asakura Azumi,"Cardigan, Specter, Specter the Unchained","Asia Argento (High School DxD), Yukiho Hagiwara (The iDOLM@STER), Fraux (Granblue Fantasy), Laphicet (Tales of Berseria), Akira Okochi (Mahou Sensei Negima!), Misaki Shokuhou (A Certain Scientific Railgun), Kumin Tsuyuri (Love, Chunibyo & Other Delusions)"
8,Asumi Kana,Snowsant,"Marika Tachibana (Nisekoi), Nyaruko (Haiyore! Nyaruko-san), Popura Taneshima (Working!!), Yuno (Hidamari Sketch), Bronya (Honkai Impact & Honkai Star Rail), Silver Wolf (Honkai Star Rail), Ene/Takane Enomoto (Mekakucity Actors), Blanc/White Heart (Neptunia series), Mel (Tales of Phantasia: Narikiri Dungeon)"
9,Anzai Chika,Pozyomka,"Ryou Atsumi (Taisho Otome Fairy Tale), Sakura Nanamine (Toilet-Bound Hanako-kun), Kojika Kumari (Mahoutsukai no Yoru), Saki (Another Eden), Chaika Trabant (Chaika: The Coffin Princess), Mina Carolina (Attack on Titan), Merry (Grimgar of Fantasy and Ash), Niina Sugawara (O Maidens in Your Savage Season), Chisato Nishikigi (Lycoris Recoil)"
10,Chiba Shōya,Chestnut,"Shinei Nouzen (86), Kiyotaka Ayanokoji (Classroom of the Elite), Shokurei (Onmyouji), Fudo Akane (B-PROJECT), Kabetaijin (Paripi Koumei), Kou Minamoto (Toilet-Bound Hanako-kun), Hayato Akiyama (The iDOLM@STER SideM), Rein (Beast Tamer)"
11,Chisuga Haruka,Rockrock,"Ryo Matsunaga (The iDOLM@STER Cinderella Girls), Sylvia Lyyneheym (The Asterisk War), Rachel ""Ray"" Gardner (Angels of Death), Shizuka Sakaki (Shirobako)"
12,Fuchigami Mai,"Greyy, Greyy the Lightningbearer","Iona, I-401 (Arpeggio of Blue Steel), Lumie (Lord of Heroes), Nagisa Shiota (Assassination Classroom), Miho Nishizumi (Girls und Panzer), Dortin (Sorcerous Stabber Orphen), Karen Hojo (The iDOLM@STER Cinderella Girls), RPK-16/89 Shiki (Girls' Frontline)"
13,Fujimura Ayumi,"Rope, Savage","Neferpitou (Hunter x Hunter), Rin Okumura (Ao no Exorcist), Aeleen, Vida (Dragalia Lost), Katen Kyokotsu (Bleach), Kanon (Aikatsu!), Korwa (Granblue Fantasy), Hana Misaki (Haikyuu!!), Natsume (Natsume Yuujinchou), Matarou Mankanshoku, Rei Hououmaru (Kill la Kill), Gabriel (Shingeki no Bahamut)"
14,Fujita Akane,"Bibeak, Shamare","Sucrose (Genshin Impact), G36C / Five-SeveN (Girls' Frontline), Yukari Mizumoto (The Idolmaster Cinderella Girls), Nayo (Final Fantasy VII Remake Integrade), Renie (Granblue Fantasy), Heroine (Dragone Quest Builders II), Feena (Final Fantasy Brave Exvius), Sagiri Izumi (Eromanga-sensei), Sistine Fibel (Akashic Records of Bastard Magic Instructor)"
15,Fujita Saki,Yato,"Hatsune Miku (Vocaloid), Ritsu (Assassination Classroom), Remon Yoimura (Boruto), Selena (Brave Frontier ReXona), Ymir (Attack on Titan series), Ruri Hijiribe (Durarara! series), Rika Sasaki (Cardcaptor Sakura), Rasphuia (Log Horizon), QQ Selezneva (Tales of Innocence R), Akagi/Tokitsukaze (Kantai Collection), Skuld (Sword Art Online), Elena (Street Fighter IV)"
